type_clean,listings,avg_price,total_units_sold,avg_units_sold,sales_proxy
Eau de Toilette,643,38.01101088646968,735887.0,1144.4587869362365,24083767.61
Eau de Parfum,895,45.683575418994415,295153.0,329.7798882681564,10296050.36
Eau de Cologne,95,41.76031578947369,51599.0,543.1473684210526,1030242.5900000001
Perfume,105,34.73428571428571,15980.0,152.1904761904762,313338.14999999997
Parfum,16,58.563125,1896.0,118.5,125431.66
Fragrances,46,35.27608695652174,1124.0,24.434782608695652,41262.8
Fragrance Mist,11,21.44363636363636,783.0,71.18181818181819,11723.77
