gender_segment,listings,avg_price,median_price,total_units_sold,avg_units_sold,sales_proxy
Men,985,44.15006091370558,34.99,760344.0,771.9228426395939,25528657.48
Women,995,38.78291457286432,32.95,489190.0,491.64824120603015,13839646.040000001
